"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,0.995377282646359,0.992173406820149,0.986792912101642,0.977836377721236,0.963142018627387,0.939592115146089,0.903203589284132,0.849938969410451,0.777566290232615,0.687952116130577,0.587832583644961,0.486621934700052,0.392711415862581,0.311117638134512,0.243423924006068,0.188945471619503,0.145936385721192,0.112379975756543,0.0863842665100222
"2",0.682236378431227,0.688312866239898,0.692514139935757,0.699549542632186,0.711199967831159,0.730126256454687,0.759874196978682,0.804044255527522,0.863484630625985,0.930824081142728,0.985703941082013,1,0.955866155120516,0.859218102486807,0.733191764606433,0.602025291347966,0.481600291244295,0.378881678153993,0.295005615232047,0.228262974575033
"3",1,0.999407012071369,0.998969299661022,0.998184966652563,0.996742362783009,0.994004703092893,0.988655951858831,0.978066428505803,0.957502564203564,0.920059946647269,0.859007264130063,0.772689079578754,0.667781687831817,0.55658205839012,0.450853512998564,0.357887231265733,0.280310532074178,0.217699563275676,0.168197589593694,0.129545168225929
"4",1,0.995039885830478,0.991605266823631,0.985842932286759,0.976266370083638,0.960596311731755,0.935587590915795,0.897188716737511,0.841482693420645,0.766664499566758,0.675252183266185,0.574498883467456,0.473869529868137,0.381386049965724,0.301582225983422,0.235677472223803,0.182794183556147,0.141120087572771,0.108640965679637,0.0834963571247076
"5",1,0.995103351313369,0.991712125738097,0.98602158143091,0.976561541849009,0.961074719328635,0.936339653551813,0.89831722323716,0.843067115867419,0.768703707506051,0.677623375851212,0.576984035407192,0.476242840311924,0.383491450622769,0.303353521972022,0.237115739192952,0.183935926566633,0.14201387384107,0.109334755112324,0.084032184950729
"6",1,0.995042299966478,0.991609331497589,0.985849727460349,0.976277596706419,0.960614505871358,0.935616188123053,0.897231618874399,0.841542909911974,0.766741971426738,0.675342230802856,0.57459322185018,0.473959593196956,0.381465926958424,0.301649415993983,0.235732023561536,0.182837485208082,0.141153983819086,0.108667276518074,0.0835166772211896
"7",1,0.998314489163071,0.997124955959222,0.995088027299196,0.991588404487783,0.985553334730353,0.975126073958916,0.957207818080729,0.927106781268817,0.879088294252789,0.808889663809388,0.717557748299251,0.612951951208915,0.50643955128822,0.407774496765123,0.322428066086789,0.251921274767453,0.19536002031251,0.150802631159163,0.116085695758905
"8",1,0.995717394022193,0.992746252254991,0.987751135252486,0.979421032594761,0.965714158722184,0.943644823594586,0.909305584258033,0.858546346525114,0.788708875285728,0.700991506221353,0.601582056614296,0.499819747938241,0.404464247787299,0.321031504783555,0.251487631594648,0.195353556011357,0.150956076166439,0.116277970464742,0.0893954710506145
"9",0.513851799328453,0.520604332701063,0.525296739704989,0.533198504067276,0.546406461332835,0.568198897449603,0.603336393021509,0.657705182893192,0.735874531457609,0.834687177792593,0.934582061508172,1,0.999477082926446,0.928976755787588,0.811199174548458,0.676123943698704,0.545961176477995,0.431973566135212,0.337499626218495,0.261676991831837
"10",1,0.99528609069008,0.992019836264151,0.986536092114647,0.977411838140484,0.962453382968066,0.938508215025328,0.901574119434611,0.847645337098465,0.774604912727044,0.684496622555701,0.584198963841341,0.483142167629038,0.389618010595332,0.308511377949261,0.241305700099949,0.187262974632468,0.144618813944506,0.111357009675638,0.0855941080903045
"11",1,0.996272756311156,0.993681932222629,0.98931709788327,0.982012944524353,0.969927039426956,0.950297032571798,0.919353630863609,0.872782510917499,0.807239260118953,0.722806738621347,0.624717461343995,0.522133806322463,0.424406909685148,0.337895542828649,0.265226583513466,0.206282666052545,0.159522519299795,0.122932621956335,0.0945373269267182
"12",1,0.99833791261616,0.997164483694108,0.995154359596939,0.991698683184929,0.985733870863257,0.975414354430879,0.957650558454563,0.927748570592664,0.87994774130768,0.809933431751824,0.718698058547181,0.614079489372565,0.507466234873471,0.408653916635204,0.323150525998726,0.252498985889674,0.195814284479116,0.151156191668184,0.116359192991368
"13",0.943675284457965,0.946320608145843,0.948121392117065,0.951084963774344,0.95584775384313,0.963191808554244,0.973708923431921,0.986798899221643,0.998658045353385,1,0.976776307525645,0.917356142278596,0.821982156618996,0.703919708516478,0.580946883748439,0.466781487320446,0.368381905608487,0.287424706741793,0.222685932720208,0.17179588700412
"14",1,0.99762223158776,0.995957040608426,0.993128933564454,0.988333589978755,0.980230763262137,0.966641554001572,0.944210436104884,0.908331792910823,0.854054818200344,0.778631398209228,0.684650127514685,0.580535953901239,0.477006683311531,0.382612570228102,0.301783272109251,0.235425854355599,0.182395654696061,0.140715203382411,0.108283900877975
"15",0.957740893749446,0.959987693896879,0.961512047018711,0.964011054853392,0.967999888855611,0.974073806371584,0.982560036348251,0.992544758059783,1,0.995808129701459,0.966793463016768,0.902729689282941,0.804955837921936,0.686832586671045,0.565423993127701,0.453569013160708,0.357590127774406,0.278831223655507,0.21594735294053,0.166560210375073
"16",1,0.995037535288887,0.991601309229934,0.985836316144279,0.976255439296183,0.960578597160196,0.935559747804015,0.897146946621777,0.841424067182675,0.766589075850869,0.675164519134373,0.574407044857049,0.473781855267661,0.38130829301834,0.301516820149892,0.235624369907708,0.182752032331171,0.141087091980709,0.108615353994445,0.0834765770136426
"17",1,0.997670118570304,0.9960378132769,0.993264373517096,0.988558470313135,0.980598144023415,0.967226276126874,0.945104110247933,0.909618639879544,0.855763876283524,0.780688245272332,0.686877834597729,0.582722778607607,0.478987097785388,0.384302573019965,0.303168263647115,0.23653167068057,0.183264370062103,0.141390960221919,0.108806459860514
"18",1,0.995424174909035,0.992252378865231,0.986924989630466,0.978054738935104,0.963496292565949,0.940149921294495,0.904042574951041,0.851120722446812,0.779093373587415,0.689735644265868,0.589709704567992,0.488420903661984,0.39431152920271,0.31246628220428,0.244520298816856,0.189816452717519,0.146618519786294,0.112909616441959,0.0867933848588263
"19",0.999953942216906,0.999998405715649,1,0.999948759585577,0.999713241477715,0.998918938882002,0.996583937728991,0.990389730549355,0.975635024024258,0.944776910719472,0.889603748419647,0.806725639216379,0.701948875005702,0.588046490765408,0.478015166549226,0.380313968464692,0.29830060446235,0.231872703494591,0.179241511915897,0.138094092642567
"20",1,0.99690801004229,0.994752655150623,0.991110303024543,0.984984347620799,0.974765602488565,0.957959112962298,0.930976358186938,0.88934628937906,0.828956583706472,0.748578173620575,0.652257105297324,0.548865517825991,0.448412143574827,0.358261928795824,0.281854381223513,0.219527496214525,0.169912534969141,0.131007830731893,0.100778627021677
"21",0.963842173194494,0.965895299647066,0.967285419074078,0.969559029445786,0.973172884629183,0.978632831349172,0.986140879774901,0.994638050145996,1,0.993205625598698,0.961506777059366,0.89533864366454,0.796536296025054,0.678480949288694,0.557887297130628,0.4471789715272,0.352382732604706,0.27469014820783,0.212702695215429,0.164040379888462
"22",1,0.995517047358063,0.992408794483764,0.987186609529212,0.978487327694883,0.964198285022608,0.941255583939189,0.905706411657488,0.853465929938265,0.782126482118792,0.693281419601037,0.593444883191858,0.49200325153425,0.397499677156553,0.315154428790945,0.246706165695957,0.191553219695527,0.147978849355928,0.113965900498074,0.087609334251981
"23",0.133679487404397,0.137682944880971,0.140508978986274,0.145350351825262,0.153677633836151,0.168077532065781,0.193111112376823,0.236640025040736,0.311013728269749,0.430870500563117,0.600576535138713,0.792160887375712,0.943417416455568,1,0.955962847444295,0.845048412861981,0.707913608643969,0.572812708541591,0.453607324129809,0.354533343601962
"24",1,0.996301424806944,0.99373024295687,0.989397978468753,0.982146889004542,0.97014494785626,0.950641596901709,0.919875173932389,0.87352355620281,0.808207268047913,0.723950781320451,0.625935244223885,0.523312006214847,0.425462348388136,0.338789479176093,0.265955621256587,0.206862980315762,0.159977560779657,0.123286194978415,0.0948105612497146
"25",1,0.995078221847364,0.99166981387024,0.985950841926589,0.976444658736186,0.960885266681084,0.936041804169243,0.897870224568898,0.842439411743648,0.767895640945168,0.676683514597959,0.57599876339042,0.475301716473414,0.382656436719424,0.302650941516062,0.23654521469844,0.183483006239086,0.141659306677993,0.109059522839984,0.083819615420823
"26",1,0.998107051247213,0.996774926560105,0.994500714030056,0.990612199432616,0.983955765928233,0.972576485416717,0.95329538358396,0.921441787910589,0.871512706595345,0.799703513142781,0.707536651972282,0.603055267605049,0.497436390460719,0.400067608175883,0.316099321584212,0.246861832119479,0.19138231869986,0.147707019503876,0.11369121560377
"27",0.999874164685821,0.9999647417301,0.999998136257607,1,0.999852024238434,0.999198932638694,0.997083596950659,0.991211291601347,0.976885098993882,0.946517866327032,0.891790421113029,0.809183011685316,0.704433084906363,0.590344990692301,0.48000538516897,0.381960371200985,0.299622835731037,0.23291512741073,0.180054123088139,0.138723277606567
"28",0.802853806639956,0.807820508211031,0.811239492501286,0.816937236751145,0.826295554712421,0.841289327624286,0.864311709729211,0.897161431426596,0.938363703500967,0.978885981117011,1,0.980262737106407,0.910433582932355,0.800921738991438,0.673367095228615,0.547592524474067,0.435421495646135,0.341294146581913,0.265152234079484,0.204893701732636
"29",1,0.99602871019999,0.993270716572539,0.988628759738354,0.980873299732189,0.968073779042868,0.947368513989369,0.91492524575108,0.866498762707573,0.79904459262397,0.713139451631908,0.614444918131145,0.512209606680533,0.415526434814924,0.3303795958349,0.25910004248804,0.201407423437315,0.155700408656514,0.119963125012392,0.0922427103422498
"30",1,0.999240426338356,0.998687987906644,0.997712348481012,0.995955134742372,0.992711986652607,0.986581837696211,0.974858307422676,0.952806453041515,0.913694381126797,0.851173028285539,0.764020822875209,0.659118833029234,0.548630892808032,0.444005295738236,0.352241168467863,0.275785602263897,0.214136686872831,0.165422281027608,0.127397278238282
"31",1,0.995128299789017,0.991754133591337,0.986091814700333,0.976677594052803,0.961262839695066,0.936635444039402,0.898761211441741,0.843690746032459,0.769506775070639,0.678557735721188,0.577963853689533,0.477179005684743,0.384322232043327,0.304052638008186,0.237683501498639,0.184386679422231,0.14236675630534,0.109608685283738,0.0842437514281038
"32",1,0.995524177280369,0.99242080310251,0.987206696240207,0.978520544258891,0.964252196199904,0.941340516362689,0.905834266345527,0.853646231963042,0.782359813029706,0.693554371266751,0.593732598555797,0.492279342099621,0.397745485306674,0.315361743748529,0.246874774120069,0.191687201486361,0.14808379829368,0.114047395780793,0.0876722885800911
"33",1,0.995516732107213,0.992408263521807,0.987185721397639,0.978485859038825,0.964195901390481,0.941251828799049,0.905700758933999,0.85345795869987,0.782116166916923,0.693269353427063,0.593432164974716,0.491991047667784,0.397488812170104,0.31514526543386,0.246698713273989,0.191547297805772,0.147974210719079,0.113962298500075,0.0876065517479792
"34",0.82960857119821,0.834243057179526,0.837429394441778,0.84273210650886,0.851421119068579,0.86528655315421,0.886428646836319,0.91622488102075,0.9527260433767,0.986689756799973,1,0.972856109252317,0.897831877694834,0.786082603692507,0.65872576718808,0.534545096588596,0.424480766496156,0.332448221177927,0.258153696105891,0.199427634278158
"35",1,0.99524135581738,0.991944504665887,0.986410123052198,0.9772036303604,0.962115724752581,0.937976920954065,0.900775791844654,0.846522366529552,0.773156214878033,0.682807741039113,0.582424564782259,0.481444135493529,0.388109336018427,0.307240765142645,0.240273268608425,0.186443043507779,0.143976781582616,0.110858562009376,0.0852091104820534
"36",1,0.99508394721061,0.991679453915295,0.98596695854794,0.976471287789012,0.960928427695382,0.936109656907265,0.897972047780469,0.842582384768349,0.768079673554789,0.676897534918055,0.576223096590135,0.475515975463365,0.382846523605343,0.302810871982382,0.236675080347584,0.183586099990754,0.141740012203763,0.109122169892854,0.0838679992499141
"37",1,0.995637419044994,0.992611539243378,0.987525761116264,0.979048229233076,0.965108798756852,0.942690411061043,0.907867230741752,0.856514836847301,0.786074837758858,0.697903727781461,0.598320737177111,0.496684942302321,0.401669763363761,0.318672588570515,0.249568053845497,0.193827659556741,0.149760573456933,0.115349515132353,0.0886781930605963
"38",1,0.996922417499643,0.994776944440186,0.991150997048971,0.985051820759186,0.974875583977006,0.95813354547864,0.931241570477097,0.889725452930329,0.829455683721816,0.749173006462859,0.652895373498005,0.549487199596858,0.448971860064602,0.358737644878555,0.282243220089522,0.219837448181132,0.17015578624577,0.13119693764451,0.100924810074505
"39",0.634057452363567,0.640397452073672,0.644787203818071,0.652149847116227,0.664374593058149,0.684322157136148,0.715906411289018,0.763372147650964,0.828532681255517,0.904971128935123,0.972232918985216,1,0.966948769363465,0.876724204514764,0.752598222630438,0.620354974799741,0.497464622046814,0.391939902670493,0.305443584281149,0.236464198960042
"40",1,0.997075538975764,0.99503510431225,0.991583557275032,0.985769146048534,0.976045128463502,0.959989210058333,0.934064663775743,0.893764839434671,0.834778239976022,0.755523594317062,0.659716982828915,0.55613749780571,0.454963325270653,0.363832290341095,0.286408714078421,0.223158479251143,0.172762440951873,0.133223526873287,0.102491464425764
"41",1,0.995506720901492,0.99239140218621,0.987157517879707,0.978439220836999,0.964120208686706,0.941132586553774,0.905521266675853,0.853204858937431,0.781788663152636,0.692886283408687,0.593028420887201,0.491603653217179,0.397143932851899,0.314854407991694,0.246462167628949,0.191359334616127,0.147826979539045,0.113847970911794,0.0875182351616035
"42",0.831763386722927,0.836370434893236,0.839537575307213,0.844807723299834,0.853441650084214,0.867214450893515,0.88820275863837,0.917750574174536,0.953871891606371,0.987309927098295,1,0.972272410391479,0.896842171424592,0.784920174167024,0.657580868540111,0.533526012282564,0.423626844801168,0.33175810240246,0.257607846530016,0.199001376617631
"43",1,0.998432648376757,0.997324359474004,0.995422668684702,0.992144802234362,0.986464340387369,0.976581100506535,0.959443198234958,0.93034865793704,0.883432133786864,0.814168439722669,0.723328264872052,0.618660724403403,0.511639667256689,0.412229892683436,0.326088879535334,0.254848935246151,0.197662239156667,0.152594551863324,0.117471870706459
"44",0.994140382575075,0.994915025576244,0.995420582280553,0.996211702129264,0.997366962829387,0.998821792300745,1,0.998988049219254,0.991203030732657,0.968459006299114,0.92086283284217,0.842907983770114,0.739192530558365,0.622889496333905,0.508388987890709,0.405542974264115,0.318611401844517,0.247908518379063,0.191752756439392,0.147786128967626
"45",0.786668358971902,0.791828290083249,0.795382787551966,0.801310990005727,0.811060758897991,0.826717064178425,0.850850043847794,0.885518278568296,0.929550144312776,0.974068889572855,1,0.984892580585444,0.918351490213843,0.810281502481893,0.68262666259489,0.555858319278296,0.442360135568082,0.346907947728153,0.269595402099981,0.208364765815992
"46",1,0.995411990278856,0.992231858278758,0.986890669096449,0.97799799558431,0.963404226008701,0.940004949915129,0.903824499215584,0.850813499535023,0.77869629029814,0.689271770743466,0.589221380543001,0.487952823635661,0.39389513219262,0.312115291326284,0.24423494441832,0.189589752910101,0.146440969054371,0.112771755811063,0.0866868941863618
"47",0.836190883706205,0.840741241044141,0.843868725740687,0.849071619341278,0.857591817740942,0.871173476544563,0.891844722553441,0.920880973615624,0.956221275867208,0.988580379386925,1,0.971078907398095,0.894820044442575,0.782546509112067,0.655243925733617,0.53144641338005,0.421884565478598,0.330350172459989,0.256494309612049,0.198131838513504
"48",0.571096498981171,0.577698972327287,0.58227904460777,0.589976771717159,0.602802197541165,0.623850671929885,0.65749434399555,0.708833361603088,0.781059929898626,0.869293136772918,0.953314925040315,1,0.982997787460286,0.902342912585697,0.781204323365477,0.647501287848342,0.521028951698381,0.411370974856247,0.320992388220677,0.248688910504736
"49",1,0.996417360694074,0.99392562216832,0.989725104640472,0.982688709801182,0.971026608680204,0.952036194340373,0.921987168882193,0.87652656039555,0.812133476460843,0.728595469175746,0.630883877567189,0.528103494950335,0.429757084620505,0.342428493108175,0.268924141006758,0.209226306577618,0.161830897925869,0.124726347233408,0.0959235222182766
"50",1,0.996815052957774,0.994595946187175,0.990847770727564,0.98454909779783,0.974056260668337,0.956834374956477,0.929266928242849,0.886903671828192,0.82574342367499,0.744751437145513,0.648153744816928,0.544871079662039,0.444817390181325,0.355207568285274,0.279358300452598,0.217538054676,0.168351329422567,0.129794181360114,0.099840478782781
"51",1,0.997572585550472,0.995873303702537,0.992988531069007,0.988100491627428,0.979850014040132,0.966035696599006,0.943284781154354,0.90699953254177,0.852286497610695,0.776504613364618,0.682348104346307,0.578277353336622,0.474962066080707,0.380868248730081,0.300354015044474,0.234284819795612,0.18149933203409,0.140017999270903,0.107744769692512
"52",1,0.995222024554046,0.991911952373748,0.986355691315109,0.977113668441763,0.961969844601057,0.937747418743194,0.900431018531889,0.846037542556082,0.772531008197989,0.682079191902674,0.581659438412109,0.480712189854292,0.387459181140012,0.306693298657746,0.239828478042723,0.186089827436121,0.143700214207829,0.110643852072794,0.0850432725825742
